ERROR 2012-03-12 11:14:22,995 [main] - logError
FATAL 2012-03-12 11:14:22,995 [main] - logFatal
ERROR 2012-03-12 11:15:42,220 [main] - Error log message at: 1331547342219
DEBUG 2012-03-12 11:15:42,244 [main] - Error log message at: 1331547342219 should not be logged in logfile: log/harmony.error.log
TRACE 2012-03-12 11:15:42,253 [main] - Trace log message at: 1331547342253
DEBUG 2012-03-12 11:15:42,256 [main] - Debug log message at: 1331547342256
TRACE 2012-03-12 11:15:42,256 [main] - Debug log message at: 1331547342256 should not be logged in logfile: log/harmony.debug.log
INFO  2012-03-12 11:15:42,262 [main] - Info log message at: 1331547342262
DEBUG 2012-03-12 11:15:42,263 [main] - Info log message at: 1331547342262 should not be logged in logfile: log/harmony.info.log
WARN  2012-03-12 11:15:42,267 [main] - Warn log message at: 1331547342267
DEBUG 2012-03-12 11:15:42,268 [main] - Warn log message at: 1331547342267 should not be logged in logfile: log/harmony.warn.log
FATAL 2012-03-12 11:15:42,270 [main] - Fatal log message at: 1331547342270
DEBUG 2012-03-12 11:15:42,271 [main] - Fatal log message at: 1331547342270 should not be logged in logfile: log/harmony.fatal.log
TRACE 2012-03-12 11:15:42,282 [main] - logTrace
DEBUG 2012-03-12 11:15:42,282 [main] - logDebug
INFO  2012-03-12 11:15:42,282 [main] - logInfo
WARN  2012-03-12 11:15:42,282 [main] - logWarn
ERROR 2012-03-12 11:15:42,282 [main] - logError
FATAL 2012-03-12 11:15:42,282 [main] - logFatal
ERROR 2012-03-12 12:37:33,021 [main] - Error log message at: 1331552253020
DEBUG 2012-03-12 12:37:33,024 [main] - Error log message at: 1331552253020 should not be logged in logfile: log/harmony.error.log
TRACE 2012-03-12 12:37:33,030 [main] - Trace log message at: 1331552253030
DEBUG 2012-03-12 12:37:33,033 [main] - Debug log message at: 1331552253033
TRACE 2012-03-12 12:37:33,034 [main] - Debug log message at: 1331552253033 should not be logged in logfile: log/harmony.debug.log
INFO  2012-03-12 12:37:33,037 [main] - Info log message at: 1331552253037
DEBUG 2012-03-12 12:37:33,038 [main] - Info log message at: 1331552253037 should not be logged in logfile: log/harmony.info.log
WARN  2012-03-12 12:37:33,041 [main] - Warn log message at: 1331552253041
DEBUG 2012-03-12 12:37:33,042 [main] - Warn log message at: 1331552253041 should not be logged in logfile: log/harmony.warn.log
FATAL 2012-03-12 12:37:33,049 [main] - Fatal log message at: 1331552253049
DEBUG 2012-03-12 12:37:33,050 [main] - Fatal log message at: 1331552253049 should not be logged in logfile: log/harmony.fatal.log
TRACE 2012-03-12 12:37:33,060 [main] - logTrace
DEBUG 2012-03-12 12:37:33,060 [main] - logDebug
INFO  2012-03-12 12:37:33,061 [main] - logInfo
WARN  2012-03-12 12:37:33,061 [main] - logWarn
ERROR 2012-03-12 12:37:33,061 [main] - logError
FATAL 2012-03-12 12:37:33,061 [main] - logFatal
ERROR 2012-03-26 12:37:40,140 [main] - Error log message at: 1332758260140
DEBUG 2012-03-26 12:37:40,184 [main] - Error log message at: 1332758260140 should not be logged in logfile: log/harmony.error.log
TRACE 2012-03-26 12:37:40,202 [main] - Trace log message at: 1332758260201
DEBUG 2012-03-26 12:37:40,222 [main] - Debug log message at: 1332758260222
TRACE 2012-03-26 12:37:40,224 [main] - Debug log message at: 1332758260222 should not be logged in logfile: log/harmony.debug.log
INFO  2012-03-26 12:37:40,228 [main] - Info log message at: 1332758260228
DEBUG 2012-03-26 12:37:40,228 [main] - Info log message at: 1332758260228 should not be logged in logfile: log/harmony.info.log
WARN  2012-03-26 12:37:40,231 [main] - Warn log message at: 1332758260231
DEBUG 2012-03-26 12:37:40,232 [main] - Warn log message at: 1332758260231 should not be logged in logfile: log/harmony.warn.log
FATAL 2012-03-26 12:37:40,234 [main] - Fatal log message at: 1332758260234
DEBUG 2012-03-26 12:37:40,235 [main] - Fatal log message at: 1332758260234 should not be logged in logfile: log/harmony.fatal.log
TRACE 2012-03-26 12:37:40,246 [main] - logTrace
DEBUG 2012-03-26 12:37:40,246 [main] - logDebug
INFO  2012-03-26 12:37:40,246 [main] - logInfo
WARN  2012-03-26 12:37:40,246 [main] - logWarn
ERROR 2012-03-26 12:37:40,246 [main] - logError
FATAL 2012-03-26 12:37:40,247 [main] - logFatal
